#{"t_start": 1644933944.9352021, "env_id": "NeedleReach-v0"}
r,l,t
-5.0,50,850.710294
-7.0,50,852.711795
-6.0,50,854.65695
-7.0,50,856.578856
-8.0,50,858.477453
-7.0,50,860.376132
-5.0,50,862.282674
-5.0,50,864.397385
-7.0,50,866.467264
-6.0,50,868.593099
-7.0,50,870.502841
-5.0,50,872.497081
-5.0,50,874.561525
-6.0,50,876.590638
-6.0,50,878.506752
-5.0,50,880.592518
-5.0,50,882.703609
-7.0,50,884.681243
-5.0,50,886.716363
-5.0,50,888.592096
-6.0,50,890.460709
-6.0,50,892.269059
-5.0,50,894.224212
-7.0,50,896.310254
-5.0,50,898.239416
-6.0,50,900.291969
-6.0,50,902.290499
-5.0,50,904.158313
-5.0,50,906.068847
-5.0,50,907.993679
-5.0,50,910.095088
-5.0,50,912.133578
-6.0,50,914.232256
-5.0,50,916.137558
-5.0,50,918.298329
-5.0,50,920.208487
-5.0,50,922.27268
-5.0,50,924.339521
-10.0,50,926.354542
-6.0,50,928.242538
-6.0,50,930.218495
-13.0,50,932.291968
-6.0,50,934.342426
-7.0,50,936.464797
-8.0,50,938.356605
-6.0,50,940.214754
-5.0,50,942.058713
-5.0,50,944.132052
-6.0,50,946.156578
-13.0,50,947.908149
-5.0,50,949.883086
-5.0,50,951.804861
-5.0,50,953.790284
-6.0,50,955.669052
-5.0,50,957.62895
-5.0,50,959.769217
-7.0,50,961.924067
-5.0,50,963.792956
-5.0,50,965.646907
-6.0,50,967.736339
-5.0,50,969.668178
-7.0,50,971.659123
-5.0,50,973.6816
-6.0,50,975.826503
-6.0,50,977.811967
-6.0,50,979.812343
-5.0,50,981.766176
-9.0,50,983.694503
-7.0,50,985.716152
-6.0,50,987.758582
-7.0,50,989.768388
-5.0,50,991.739638
-6.0,50,993.858189
-7.0,50,995.821173
-10.0,50,997.780881
-5.0,50,999.870661
-5.0,50,1001.869658
-6.0,50,1003.744483
-5.0,50,1005.765972
-6.0,50,1007.780711
-8.0,50,1009.930482
-9.0,50,1011.92895
-5.0,50,1013.928608
-5.0,50,1015.891088
-5.0,50,1017.923464
-5.0,50,1019.82969
-5.0,50,1021.885126
-6.0,50,1023.976398
-6.0,50,1026.050166
-5.0,50,1027.950555
-5.0,50,1029.92261
-5.0,50,1031.985641
-5.0,50,1034.0312
-6.0,50,1036.202476
-7.0,50,1038.088367
-5.0,50,1040.100479
-6.0,50,1041.975214
-5.0,50,1043.903786
-5.0,50,1045.786118
-5.0,50,1047.917982
-5.0,50,1050.010818
-5.0,50,1052.066073
-6.0,50,1054.118393
-6.0,50,1056.063233
-5.0,50,1057.910124
-6.0,50,1059.865178
-10.0,50,1061.85904
-5.0,50,1063.810018
-5.0,50,1066.00483
-5.0,50,1067.874885
-5.0,50,1069.850914
-5.0,50,1071.921522
-5.0,50,1073.961173
-5.0,50,1075.848251
-5.0,50,1078.011086
-5.0,50,1080.081773
-5.0,50,1082.09025
-6.0,50,1084.165012
-5.0,50,1086.152791
-5.0,50,1088.233008
-6.0,50,1090.326552
-5.0,50,1092.434719
-6.0,50,1094.283621
-5.0,50,1096.289098
-5.0,50,1098.22784
-6.0,50,1100.270073
-5.0,50,1102.356038
-6.0,50,1104.286842
-5.0,50,1106.186896
-5.0,50,1108.254615
-7.0,50,1110.35227
-5.0,50,1112.400651
-5.0,50,1114.310225
-5.0,50,1116.337628
-5.0,50,1118.415049
-5.0,50,1120.447083
-7.0,50,1122.354245
-5.0,50,1124.352636
-5.0,50,1126.484749
-5.0,50,1128.569093
-6.0,50,1130.622233
-5.0,50,1132.824434
-6.0,50,1134.870464
-6.0,50,1136.830087
-5.0,50,1138.843251
-6.0,50,1140.875459
-6.0,50,1142.889382
-5.0,50,1144.804914
-5.0,50,1146.742098
-7.0,50,1148.77205
-6.0,50,1150.861866
-5.0,50,1152.857058
-6.0,50,1154.751892
-6.0,50,1156.800608
-5.0,50,1158.83372
-7.0,50,1160.808324
-5.0,50,1162.677962
-5.0,50,1164.666049
-5.0,50,1166.714596
-5.0,50,1168.591185
-7.0,50,1170.452818
-6.0,50,1172.462807
-5.0,50,1174.595379
-7.0,50,1176.713572
